Method,,,,sMAPE,,,,,,,MASE,,,,,,,OWA,,,,,,,Overview,,,,
User ID,Team Members,Affiliation,Type of Method,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Better than Comb,General Rank (OWA),General Rank (sMAPE),General Rank (MASE),% improvement over Comb
118,"Smyl, S.",Uber Technologies,Hybrid,13.176,9.679,12.126,7.817,3.170,9.328,11.374,2.980,1.118,0.884,2.356,3.446,0.893,1.536,0.778,0.847,0.836,0.851,1.046,0.440,0.821,1,1,1,1,8.55
245,"Montero-Manso, P., Talagala, T., Hyndman, R. J. & Athanasopoulos, G.",University of A Coruña & Monash University,Combination (S & ML),13.528,9.733,12.639,7.625,3.097,11.506,11.720,3.060,1.111,0.893,2.108,3.344,0.819,1.551,0.799,0.847,0.858,0.796,1.019,0.484,0.838,1,2,3,3,6.68
237,"Pawlikowski, M., Chorowska, A. & Yanchuk, O.",ProLogistica Soft,Combination (S),13.943,9.796,12.747,6.919,2.452,9.611,11.845,3.130,1.125,0.905,2.158,2.642,0.873,1.547,0.820,0.855,0.867,0.766,0.806,0.444,0.841,1,3,5,2,6.28
72,"Jaganathan, S. & Prakash, P.",Individual,Combination (S & ML),13.712,9.809,12.487,6.814,3.037,9.934,11.695,3.126,1.135,0.895,2.350,3.258,0.976,1.571,0.813,0.859,0.854,0.795,0.996,0.474,0.842,1,4,2,6,6.20
69,"Fiorucci, J. A. & Louzada, F.",University of Brasilia & University of São Paulo,Combination (S),13.673,9.816,12.737,8.627,2.985,15.563,11.836,3.046,1.122,0.907,2.368,3.194,1.203,1.554,0.802,0.855,0.868,0.897,0.977,0.674,0.843,1,5,4,4,6.13
36,"Petropoulos, F. & Svetunkov, I.",University of Bath & Lancaster University,Combination (S),13.669,9.800,12.888,6.726,2.995,13.167,11.887,3.082,1.118,0.913,2.133,3.229,1.458,1.565,0.806,0.853,0.876,0.751,0.984,0.663,0.848,1,6,6,5,5.58
78,"Shaub, D.",Harvard Extension School,Combination (S),13.679,10.378,12.839,7.818,3.222,13.466,12.020,3.038,1.198,0.929,2.947,3.479,1.372,1.595,0.801,0.908,0.882,0.957,1.060,0.653,0.860,1,7,9,7,4.17
260,Legaki N. Z. & Koutsouri K.,National Technical University of Athens,Statistical,13.366,10.155,13.002,9.148,3.041,17.567,11.986,3.009,1.198,0.966,2.601,3.254,2.557,1.601,0.788,0.898,0.905,0.968,0.996,1.012,0.861,1,8,8,8,4.14
238,"Doornik, J., Hendry, D. & Castle, J.",University of Oxford,Combination (S),13.910,10.000,12.780,6.728,3.053,8.913,11.924,3.262,1.163,0.931,2.302,3.284,0.801,1.627,0.836,0.878,0.881,0.782,1.002,0.410,0.865,1,9,7,10,3.65
39,"Pedregal, D.J., Trapero, J. R., Villegas, M. A. & Madrigal, J. J.",University of Castilla-La Mancha,Combination (S),13.821,10.093,13.151,8.989,3.026,9.765,12.114,3.185,1.164,0.943,2.488,3.232,1.049,1.614,0.824,0.883,0.899,0.939,0.990,0.485,0.869,1,10,10,9,3.22
5,"Spiliotis, E. & Assimakopoulos, V.",National Technical University of Athens,Statistical,13.804,10.128,13.142,8.990,3.027,17.756,12.148,3.184,1.178,0.959,2.488,3.232,1.808,1.628,0.823,0.889,0.907,0.939,0.990,0.860,0.874,1,11,12,11,2.68
132,"Roubinchtein, A.",Washington State Employment Security Department,Combination (S),14.445,10.172,12.911,8.435,3.270,12.871,12.183,3.244,1.159,0.921,2.290,3.632,1.129,1.633,0.850,0.885,0.881,0.873,1.091,0.586,0.876,1,12,13,13,2.41
251,"Ibrahim, M.",Georgia Institute of Technology,Statistical,13.677,10.089,13.321,9.089,3.071,18.093,12.198,3.075,1.185,0.977,2.583,3.894,2.388,1.644,0.805,0.890,0.921,0.961,1.098,0.991,0.880,1,13,14,14,2.00
250,Tartu M4 seminar,University of Tartu,Combination (S & ML),14.096,11.109,13.290,8.513,2.852,13.851,12.496,3.091,1.250,1.002,2.375,3.025,1.058,1.633,0.820,0.960,0.932,0.892,0.930,0.598,0.888,1,14,19,12,1.12
243,"Waheeb, W.",Universiti Tun Hussein Onn Malaysia,Combination (S),14.783,10.059,12.770,7.076,2.997,12.047,12.146,3.400,1.160,1.029,2.180,3.321,0.861,1.706,0.880,0.880,0.927,0.779,0.999,0.507,0.894,1,15,11,22,0.43
235,"Darin, S. & Stellwagen, E.",Business Forecast Systems (Forecast Pro),Statistical,14.663,10.155,13.058,6.582,3.077,11.683,12.279,3.406,1.168,0.924,2.107,4.128,0.856,1.693,0.877,0.887,0.887,0.739,1.135,0.496,0.895,1,16,15,20,0.25
